Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-03-17T18:00:00Z,AMD,97.23,505,Market,Filled,49101.15,"" 
2023-03-17T19:00:00Z,TSLA,179.45,-288,Market,Filled,-51681.6,"Liquidated" 
2023-03-17T19:00:00Z,PLTR,7.885,-702,Market,Filled,-5535.27,"Liquidated" 
2023-03-20T14:00:00Z,MA,343.8346078685,-19,Market,Filled,-6532.8575495015,"Liquidated" 
2023-03-20T14:00:00Z,NFLX,299.45,-103,Market,Filled,-30843.35,"Liquidated" 
2023-03-20T15:00:00Z,TSLA,185.78,141,Market,Filled,26194.98,"" 
2023-03-20T15:00:00Z,MA,347.67300456,61,Market,Filled,21208.05327816,"" 
2023-03-20T15:00:00Z,NFLX,306.765,19,Market,Filled,5828.535,"" 
2023-03-20T15:00:00Z,DIS,93.088159528,131,Market,Filled,12194.548898168,"" 
2023-03-20T17:00:00Z,BRK.B,300.92,23,Market,Filled,6921.16,"" 
2023-03-20T17:00:00Z,NFLX,303.92,-19,Market,Filled,-5774.48,"Liquidated" 
2023-03-20T18:00:00Z,XOM,94.502501568,94,Market,Filled,8883.235147392,"" 
2023-03-20T18:00:00Z,DIS,92.242261206,-131,Market,Filled,-12083.736217986,"Liquidated" 
2023-03-20T18:00:00Z,PLTR,7.995,2616,Market,Filled,20914.92,"" 
2023-03-20T19:00:00Z,HD,271.980863968,-53,Market,Filled,-14414.985790304,"Liquidated" 
2023-03-20T19:00:00Z,MA,343.839535207,-61,Market,Filled,-20974.211647627,"Liquidated" 
2023-03-21T14:00:00Z,JPM,123.34838848,80,Market,Filled,9867.8710784,"" 
2023-03-21T14:00:00Z,HD,275.8349968,83,Market,Filled,22894.3047344,"" 
2023-03-21T14:00:00Z,MA,348.816147092,55,Market,Filled,19184.88809006,"" 
2023-03-21T14:00:00Z,BAC,27.19992457,216,Market,Filled,5875.18370712,"" 
2023-03-21T14:00:00Z,DIS,94.258646741,356,Market,Filled,33556.078239796,"" 
2023-03-21T14:00:00Z,COIN,79.19,-565,Market,Filled,-44742.35,"Liquidated" 
2023-03-21T14:00:00Z,SMCI,10.343,-835,Market,Filled,-8636.405,"Liquidated" 
2023-03-21T17:00:00Z,TSLA,195.78,-141,Market,Filled,-27604.98,"Liquidated" 
2023-03-21T19:00:00Z,HD,272.642112248,-83,Market,Filled,-22629.295316584,"Liquidated" 
2023-03-21T19:00:00Z,NFLX,306.4,11,Market,Filled,3370.4,"" 
2023-03-22T14:00:00Z,NFLX,303.82,-11,Market,Filled,-3342.02,"Liquidated" 
2023-03-22T16:00:00Z,TSLA,197.13,160,Market,Filled,31540.8,"" 
2023-03-22T16:00:00Z,BAC,26.466443458,-216,Market,Filled,-5716.751786928,"Liquidated" 
2023-03-22T19:00:00Z,JPM,121.627904098,-80,Market,Filled,-9730.23232784,"Liquidated" 
2023-03-22T19:00:00Z,COIN,80.07,202,Market,Filled,16174.14,"" 
2023-03-23T14:00:00Z,NFLX,318.4,68,Market,Filled,21651.2,"" 
2023-03-23T14:00:00Z,COIN,65.19,-202,Market,Filled,-13168.38,"Liquidated" 
2023-03-23T15:00:00Z,BRK.B,301.45,-23,Market,Filled,-6933.35,"Liquidated" 
2023-03-23T15:00:00Z,CMCSA,33.626114319,-234,Market,Filled,-7868.510750646,"Liquidated" 
2023-03-23T15:00:00Z,COIN,68.64,196,Market,Filled,13453.44,"" 
2023-03-23T16:00:00Z,COIN,68.5,-196,Market,Filled,-13426,"Liquidated" 
2023-03-23T18:00:00Z,UNH,454.156660818,-22,Market,Filled,-9991.446537996,"Liquidated" 
