Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-09-07T08:00:00Z,SOLUSD,19.54,-1278.10665256,Market,Filled,-24974.203991022,"Liquidated" 
2023-09-07T13:00:00Z,BTCUSD,25640.88,-1.81156817,Market,Filled,-46450.20205879,"Liquidated" 
2023-09-07T13:00:00Z,ETHUSD,1625.09,-23.74301605,Market,Filled,-38584.537952695,"Liquidated" 
2023-09-07T17:00:00Z,BTCUSD,25813.74,9.4712895,Market,Filled,244489.40461773,"" 
2023-09-07T17:00:00Z,SOLUSD,19.62,663.24823951,Market,Filled,13012.930459186,"" 
2023-09-07T18:00:00Z,ETHUSD,1638.05,133.6420314,Market,Filled,218912.32953477,"" 
2023-09-08T12:00:00Z,ETHUSD,1625.18,-133.6420314,Market,Filled,-217192.35659065,"Liquidated" 
2023-09-08T13:00:00Z,SOLUSD,19.61,-663.24823951,Market,Filled,-13006.297976791,"Liquidated" 
2023-09-08T15:00:00Z,BTCUSD,25842.01,-9.4712895,Market,Filled,-244757.1579719,"Liquidated" 
2023-09-08T22:00:00Z,ETHUSD,1633.96,7.72727875,Market,Filled,12626.06438635,"" 
2023-09-09T06:00:00Z,ETHUSD,1632.23,-7.72727875,Market,Filled,-12612.696194112,"Liquidated" 
2023-09-09T07:00:00Z,ETHUSD,1635.06,5.19410944,Market,Filled,8492.6805809664,"" 
2023-09-09T09:00:00Z,ETHUSD,1633.54,-5.19410944,Market,Filled,-8484.7855346176,"Liquidated" 
2023-09-09T10:00:00Z,ETHUSD,1634.47,5.87750738,Market,Filled,9606.6094873886,"" 
2023-09-09T12:00:00Z,SOLUSD,19.57,336.6228118,Market,Filled,6587.708426926,"" 
2023-09-09T13:00:00Z,SOLUSD,19.53,-336.6228118,Market,Filled,-6574.243514454,"Liquidated" 
2023-09-09T14:00:00Z,ETHUSD,1630.61,-5.87750738,Market,Filled,-9583.9223089018,"Liquidated" 
2023-09-09T17:00:00Z,BTCUSD,25895.89,1.13316516,Market,Filled,29344.320335192,"" 
2023-09-09T17:00:00Z,ETHUSD,1635.09,12.67352147,Market,Filled,20722.348220382,"" 
2023-09-09T19:00:00Z,ETHUSD,1632.85,-12.67352147,Market,Filled,-20693.95953229,"Liquidated" 
2023-09-09T21:00:00Z,BTCUSD,25857.78,-1.13316516,Market,Filled,-29301.135410945,"Liquidated" 
2023-09-09T22:00:00Z,BTCUSD,25886.09,0.88647398,Market,Filled,22947.345228938,"" 
2023-09-09T22:00:00Z,ETHUSD,1635.11,19.36261493,Market,Filled,31660.005298192,"" 
2023-09-10T01:00:00Z,ETHUSD,1631.63,-19.36261493,Market,Filled,-31592.623398236,"Liquidated" 
2023-09-10T02:00:00Z,BTCUSD,25845,-0.88647398,Market,Filled,-22910.9200131,"Liquidated" 
2023-09-10T22:00:00Z,BTCUSD,25880.9,4.3034006,Market,Filled,111375.88058854,"" 
2023-09-11T01:00:00Z,BTCUSD,25719.88,-4.3034006,Market,Filled,-110682.94702393,"Liquidated" 
2023-09-11T06:00:00Z,BTCUSD,25882.99,2.75519209,Market,Filled,71312.609313549,"" 
2023-09-11T06:00:00Z,SOLUSD,18.4,6702.19566208,Market,Filled,123320.40018227,"" 
2023-09-11T09:00:00Z,SOLUSD,18.02,-6702.19566208,Market,Filled,-120773.56583068,"Liquidated" 
2023-09-11T10:00:00Z,BTCUSD,25705.39,-2.75519209,Market,Filled,-70823.287198365,"Liquidated" 
2023-09-12T05:00:00Z,BTCUSD,25753.52,19.19748327,Market,Filled,494402.76934361,"" 
2023-09-12T05:00:00Z,ETHUSD,1582.08,117.38612881,Market,Filled,185714.24666772,"" 
2023-09-12T05:00:00Z,SOLUSD,18.03,30591.59709247,Market,Filled,551566.49557723,"" 
2023-09-12T21:00:00Z,SOLUSD,17.89,-30591.59709247,Market,Filled,-547283.67198429,"Liquidated" 
2023-09-12T23:00:00Z,SOLUSD,18.01,1936.78222723,Market,Filled,34881.447912412,"" 
